Player,Season,Team
Wright,2000-01,Atlanta Hawks
 Vaughn ,2001-02,Atlanta Hawks
 Henderson ,2002-03,Atlanta Hawks
 Mohammed ,2003-04,Atlanta Hawks
 Drobnjak ,2004-05,Atlanta Hawks
 Childress ,2005-06,Atlanta Hawks
 Childress ,2006-07,Atlanta Hawks
 Childress ,2007-08,Atlanta Hawks
 Evans ,2008-09,Atlanta Hawks
 Crawford ,2009-10,Atlanta Hawks
 Crawford ,2010-11,Atlanta Hawks
 McGrady ,2011-12,Atlanta Hawks
 Williams ,2012-13,Atlanta Hawks
 Brand ,2013-14,Atlanta Hawks
 Antic ,2014-15,Atlanta Hawks
 Sefolosha ,2015-16,Atlanta Hawks
 Muscala ,2016-17,Atlanta Hawks
 Collins ,2017-18,Atlanta Hawks
 Len ,2018-19,Atlanta Hawks
 Fernando ,2019-20,Atlanta Hawks
 Carter ,2019-20,Atlanta Hawks
 Gallinari ,2020-21,Atlanta Hawks
 Bogdanovic ,2021-22,Atlanta Hawks
 Gallinari ,2021-22,Atlanta Hawks
 Potapenko ,2000-01,Boston Celtics
 Williams ,2001-02,Boston Celtics
 McCarty ,2002-03,Boston Celtics
 Davis ,2003-04,Boston Celtics
 Davis ,2004-05,Boston Celtics
 Jefferson ,2005-06,Boston Celtics
 Rondo ,2006-07,Boston Celtics
 Posey ,2007-08,Boston Celtics
 Davis ,2008-09,Boston Celtics
 Wallace ,2009-10,Boston Celtics
 Davis ,2010-11,Boston Celtics
 Stiemsma ,2011-12,Boston Celtics
 Wilcox ,2012-13,Boston Celtics
 Sullinger ,2013-14,Boston Celtics
 Olynyk ,2014-15,Boston Celtics
 Turner ,2015-16,Boston Celtics
 Smart ,2016-17,Boston Celtics
 Smart ,2017-18,Boston Celtics
 Hayward ,2018-19,Boston Celtics
 Kanter ,2019-20,Boston Celtics
 Pritchard ,2020-21,Boston Celtics
 Williams ,2021-22,Boston Celtics
 Gatling ,2000-01,Cleveland Cavaliers
 Davis ,2001-02,Cleveland Cavaliers
 Jones ,2002-03,Cleveland Cavaliers
 Battie ,2003-04,Cleveland Cavaliers
 Traylor ,2004-05,Cleveland Cavaliers
 Marshall ,2005-06,Cleveland Cavaliers
 Varejao ,2006-07,Cleveland Cavaliers
 Varejao ,2007-08,Cleveland Cavaliers
 Gibson ,2008-09,Cleveland Cavaliers
 Szczerbiak ,2008-09,Cleveland Cavaliers
 Varejao ,2009-10,Cleveland Cavaliers
 Gibson ,2010-11,Cleveland Cavaliers
 Samuels ,2011-12,Cleveland Cavaliers
 Gee ,2011-12,Cleveland Cavaliers
 Walton ,2012-13,Cleveland Cavaliers
